height,distance,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_2nd_correlation,teo_2nd_correlation,keo_2nd_correlation,ptk_2nd_correlation
0.01,1000,0.22833346154863832,0.3017334323344737,3.8678841590881348,70,0.3017334323344737,0.2583102788935693,0.23666325523198675,0.11662687973452351
0.01,1500,0.03347320448459496,0.12087209118873751,2.1490390300750732,70,0.12087209118873751,0.07427092329784453,0.06668935813672883,-0.12793955468493104
0.01,2000,-0.06745252198309132,0.008905872625869858,2.0743327140808105,70,-0.01555172642607712,-0.07895478165911762,-0.18420945247304038,0.008905872625869858
0.01,2500,0.14932619676609843,0.2504584774831611,2.100668430328369,70,0.16201503329209047,0.2504584774831611,0.11620586319250635,0.06862541309663585
0.01,3000,0.20209820797841616,0.3164578012677556,2.1325018405914307,70,0.3164578012677556,0.26747633309917823,0.18528442521964308,0.03917427232708778
0.01,3500,0.19028100511763174,0.24025883271982798,2.239971399307251,70,0.194442044875162,0.10414052199476566,0.24025883271982798,0.22228262088077133
0.01,4000,0.09595549732135743,0.12985566444386126,2.079155206680298,70,0.11812610271390585,0.12985566444386126,0.11875808549780711,0.01708213662985553
0.01,4500,-0.01220669019878029,0.13963934994219876,2.078556776046753,70,0.13963934994219876,0.12551941242819614,-0.1359586313065475,-0.17802689185896858
0.01,5000,0.010021982948515525,0.14376964037437698,2.1010642051696777,70,0.027079648901311395,0.14376964037437698,-0.04589368083506261,-0.08486767664656367
0.01,5500,0.11057612170039531,0.17539400876770952,2.2366979122161865,70,0.0715762292961915,0.17539400876770952,0.16390145181296506,0.0314327969247152
0.01,6000,0.18523206635480144,0.3281288875959851,2.3985884189605713,70,0.15823504731802773,0.3281288875959851,0.26113667779028527,-0.006572347285092282
0.01,6500,0.16350798600425945,0.23583250276692877,2.0730552673339844,70,0.23583250276692877,0.20355012447068915,0.13776904390295383,0.07688027287646601
0.01,7000,0.1548154538689604,0.19914188405121344,2.033698081970215,70,0.19914188405121344,0.1457514547674948,0.17967699733166895,0.09469147932546434
0.01,7500,0.11899307126677011,0.22636397528025837,2.019078016281128,70,0.22636397528025837,0.023743447674536858,0.09460045047112892,0.13126441164115635
0.02,1000,0.34201705371096525,0.38311431939843127,2.006629467010498,70,0.36703507156400833,0.38311431939843127,0.3438700137129502,0.2740488101684712
0.02,1500,0.19805391915805615,0.24510466172018328,2.0068862438201904,70,0.18702680315630582,0.24510466172018328,0.20141591653693733,0.15866829521879805
0.02,2000,0.10450295695224743,0.2109178565612664,2.0137901306152344,70,0.07381878334033087,0.10011848271205098,0.03315670519534142,0.2109178565612664
0.02,2500,0.31559602679101156,0.4299872305560154,2.0414175987243652,70,0.26875258009140107,0.4299872305560154,0.2637902499086592,0.29985404660797055
0.02,3000,0.3489948318001291,0.4022865796092074,2.0390193462371826,70,0.3758919419299098,0.4022865796092074,0.3316297359822432,0.28617106967915595
0.02,3500,0.3144041095463083,0.3368390721279734,2.2999489307403564,70,0.27978902505476927,0.30584728804500694,0.3351410529574836,0.3368390721279734
0.02,4000,0.2149889052811,0.3045629813208062,2.255323886871338,70,0.21046122086745633,0.3045629813208062,0.2244639242680745,0.12046749466806307
0.02,4500,0.10787622903677246,0.26981336600791506,2.184290647506714,70,0.21879735664592997,0.26981336600791506,-0.03264234243292892,-0.024463464073826276
0.02,5000,0.1510660791150914,0.33583166857148194,2.1414456367492676,70,0.10035796071453981,0.33583166857148194,0.05926972630406765,0.10880496087027619
0.02,5500,0.2344478772329136,0.3969192723596776,2.13675594329834,70,0.12970160812616482,0.3969192723596776,0.26674335284890544,0.1444272755969065
0.02,6000,0.2588971357813673,0.44532281653558825,2.1545522212982178,70,0.19917203288631244,0.44532281653558825,0.32155560113915527,0.06953809256441333
0.02,6500,0.21685354543166302,0.2769592008432166,2.1717050075531006,70,0.2566980163737266,0.2769592008432166,0.2228112693240945,0.11094569518561453
0.02,7000,0.19219092262708154,0.23254187484867586,2.1795644760131836,70,0.20653367418583113,0.20164470252371938,0.23254187484867586,0.12804343895009984
0.02,7500,0.15011684888655702,0.24434867297236826,2.092534303665161,70,0.24434867297236826,0.09209950374297667,0.1414428745660664,0.12257634426481678
0.03,1000,0.3942051360321608,0.45724806942671814,2.0977680683135986,70,0.42867481407295105,0.45724806942671814,0.39009301015762393,0.30080465047135
0.03,1500,0.2750200586951342,0.2969500364272454,2.0905966758728027,70,0.2870826297817802,0.2969500364272454,0.24475169525586915,0.27129587331564203
0.03,2000,0.20982553097204182,0.29196703236175514,2.076246976852417,70,0.18770022053976884,0.23011883871274083,0.1295160322739025,0.29196703236175514
0.03,2500,0.3852472106899694,0.5031748053140243,2.0796244144439697,70,0.38213281940355803,0.5031748053140243,0.3265991289647652,0.3290820890775301
0.03,3000,0.43674900931973665,0.4950823203539242,2.0971055030822754,70,0.46462168054059216,0.4950823203539242,0.41958972512017423,0.3677023112642559
0.03,3500,0.3733470392978814,0.3940677237374081,2.089509963989258,70,0.3788024368647011,0.3940677237374081,0.37626491477534785,0.3442530818140685
0.03,4000,0.28518808123396133,0.3859445936797355,2.0910096168518066,70,0.34897913636961275,0.3859445936797355,0.24740034666038105,0.158428248226116
0.03,4500,0.17435580680622575,0.31357443452281264,2.0840601921081543,70,0.2659408730688947,0.31357443452281264,0.06921090483084728,0.0486970148023485
0.03,5000,0.2265769017880474,0.38561490449317537,2.0922927856445312,70,0.17593438060717184,0.38561490449317537,0.17773262031094614,0.16702570174089623
