height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.15,2000,6,0.5657665933404936,0.5752025311679629,1.2377715110778809,70,0.5563306555130242,0.5752025311679629
0.15,2100,6,0.6057199623865663,0.6154288101436705,1.2215001583099365,70,0.5960111146294622,0.6154288101436705
0.15,2200,6,0.6291675110757551,0.6638606345007917,1.2189247608184814,70,0.5944743876507186,0.6638606345007917
0.15,2300,6,0.6609446424060789,0.6888001240094973,1.228637456893921,70,0.6330891608026604,0.6888001240094973
0.15,2400,6,0.6973051152156595,0.7212143472326458,1.2276105880737305,70,0.6733958831986732,0.7212143472326458
0.15,2500,6,0.7126108664699551,0.7330183587026343,1.2205865383148193,70,0.6922033742372757,0.7330183587026343
0.15,2600,6,0.7299647044136213,0.7577235126105062,1.2160353660583496,70,0.7022058962167362,0.7577235126105062
0.15,2700,6,0.7080557379011108,0.7397234187176559,1.218808889389038,70,0.6763880570845657,0.7397234187176559
0.15,2800,6,0.7051821021662934,0.7108776515115971,1.2354254722595215,70,0.6994865528209897,0.7108776515115971
0.15,2900,6,0.6698837036137397,0.68546474011172,1.2212622165679932,70,0.6543026671157594,0.68546474011172
0.15,3000,6,0.6446557872054128,0.6575169365478003,1.233238697052002,70,0.6317946378630253,0.6575169365478003
0.15,3100,6,0.6293456978291069,0.6304861126512215,1.236623764038086,70,0.6282052830069923,0.6304861126512215
0.15,2000,7,0.5552670532422893,0.5553330665347589,1.3333544731140137,70,0.5553330665347589,0.5552010399498197
0.15,2100,7,0.5945616244123613,0.5952317886041425,1.3170194625854492,70,0.5952317886041425,0.5938914602205799
0.15,2200,7,0.6214045584399581,0.6459623406506503,1.2868497371673584,70,0.5968467762292659,0.6459623406506503
0.15,2300,7,0.6558294844614051,0.6750426091974435,1.2845823764801025,70,0.6366163597253667,0.6750426091974435
0.15,2400,7,0.687202052052823,0.7056982923887907,1.2927885055541992,70,0.6687058117168553,0.7056982923887907
0.15,2500,7,0.7042206282824337,0.7202712379155838,1.2717764377593994,70,0.6881700186492837,0.7202712379155838
0.15,2600,7,0.7178454271917322,0.7446147029016102,1.2754783630371094,70,0.6910761514818541,0.7446147029016102
